FP1     FP2     F3      F4      C3      C4      P3      P4      O1      O2      F7      F8      T7      T8      P7      P8      Fz      Cz      Pz      A1      A2      EKG     ATM     EO1     EO2     EM1     EM2     PHO    
 19.9038 13.1423 22.9141 10.6628 -5.9683 -6.5672 -3.2567 6.66909 42.6882 5.53818  0.7354 -0.7237 9.55303 20.0167 -24.952 -41.053 20.8281 14.5762 35.8349 239.367 90.9896 -12.319 17.8256 18.0434 17.1888 16.5341 17.2033 12.1347
 19.4195 13.0702 22.4896 11.1662 -3.1891  -5.758 0.37648 7.98743 47.0446 6.61611  1.6966 1.08436 11.7604  21.117 -18.759  -38.28 19.9244 14.8345 37.8806 237.557 89.4152  -12.21  18.004 18.0513 17.2174 16.6133 17.2566 12.1706
 19.2299  13.186 22.4385 11.2906  -0.257  -4.915 3.68018 8.94709 50.5727 7.10827 3.07205 2.77273 13.8591  21.969 -13.015 -35.945 19.3191 15.6629 39.9983 234.449 91.7986 -11.961 18.1534 18.0618 17.2375 16.6863 17.3135 12.2061
 19.3566 13.4157 22.8136 10.9926  2.6754  -4.101 6.44113 9.47796 53.1133 7.06951 4.63593 4.28592  15.627 22.4895 -7.9241 -34.146 19.0522 16.8916 42.0572 230.188 96.8391 -11.489 18.2771 18.0868 17.2412 16.7489 17.3648 12.2411
  19.807 13.6319 23.5701 10.3312 5.43193 -3.3427 8.51543 9.56127 54.6623 6.68817 6.13909  5.6189 16.9077 22.7639  -3.582  -32.81   19.12 18.3011 43.9602  225.42 103.133 -10.791 18.3841 18.1287 17.2348 16.7974 17.4067 12.2757
 20.5873 13.7062 24.5688 9.45828 7.84706  -2.609 9.88754  9.2494 55.4121 6.24857 7.37582 6.80184 17.6625 22.9978 0.05561 -31.721 19.4631 19.6572 45.6539 221.389 109.959 -9.9148 18.4819 18.1818 17.2328 16.8302 17.4402 12.3098
 21.6896 13.5459 25.6145 8.57321 9.81822 -1.8304 10.6971 8.66215 55.7286 6.07433 8.24406 7.88121  17.986 23.4255 3.17698 -30.591 19.9818 20.7641 47.1584 218.917 116.696 -8.9294 18.5749 18.2379 17.2423 16.8482  17.468 12.3434
  23.091 13.0955 26.5143 7.86251 11.3507 -0.9264 11.2241 7.96365 56.0675 6.47055 8.78106 8.89261 18.0507  24.258 6.07201  -29.15 20.5672  21.524 48.5882 217.711 122.175 -7.8897 18.6695 18.2921  17.258 16.8536 17.4928 12.3766
 24.7906  12.354 27.1288 7.45244 12.5497 0.18429 11.8179  7.3186 56.8391 7.65041 9.15322 9.85891 18.0194 25.6376 9.04434 -27.215 21.1388 21.9646 50.1143 216.657 124.876 -6.8223 18.7727 18.3439 17.2722 16.8479 17.5164 12.4094
 26.8067 11.3955 27.3876 7.39718 13.5556 1.57044 12.7858 6.84709 58.2906 9.68171 9.57505 10.8091 18.0126 27.5606 12.3228 -24.722 21.6537 22.2033 51.8774 214.869 123.824 -5.7246 18.8843 18.3924 17.2836 16.8316 17.5416 12.4418
  29.099 10.3552 27.2699 7.70366 14.4704 3.26861 14.3053 6.61109 60.4725 12.4966 10.1993 11.7888 18.0904 29.8536  16.012   -21.7 22.0816 22.3737 53.9239 211.938 118.697 -4.5898 18.9902 18.4341 17.2979 16.8055 17.5715 12.4738
 31.5238   9.406 26.7839 8.35814 15.3257 5.27479 16.4054 6.63666 63.2779 15.9372 11.0688 12.8638 18.2366  32.242 20.0839  -18.23  22.389 22.5732 56.2197 207.128 108.971  -3.434 19.0695 18.4667 17.3178  16.773 17.6077 12.5053
 33.8986 8.71893 25.9788 9.31702  16.114 7.54919   19.01 6.95298 66.5083 19.8018 12.1675 14.1056 18.4091 34.4499  24.406 -14.401 22.5389 22.8623 58.7137 198.871 93.4595 -2.2867 19.1108 18.4934 17.3362 16.7386 17.6502 12.5364
 36.1055 8.40978  24.969 10.4786 16.8402 10.0214  21.988 7.62693 69.9287 23.8787  13.502 15.5683 18.5858 36.2924 28.7836 -10.283 22.4962 23.2917 61.3885 185.216 70.8792  -1.179 19.1188 18.5195 17.3419 16.7059 17.7007 12.5672
 38.1147 8.49767 23.9133 11.6912 17.5322 12.5943 25.1732  8.7722 73.2866 27.9605 15.1086 17.2733 18.7427 37.7181 32.9938 -5.9396 22.2303 23.9163 64.2594 164.928 41.0954  -0.152 19.1049 18.5466 17.3341  16.678 17.7648 12.5975
 39.9223 8.89814  22.944  12.819 18.2003 15.1618 28.3618 10.5278 76.3119 31.8607 16.9777 19.1981 18.8398 38.7936 36.8163 -1.4302 21.7165 24.7862 67.3275 137.801 5.43103 0.75163 19.0741 18.5736 17.3252 16.6619 17.8473 12.6275
 41.5182 9.46726 22.1127 13.8063   18.81 17.6449 31.3363 13.0217 78.7462 35.4621 19.0033 21.2755   18.86   39.69  40.085 3.21465 20.9605 25.9467 70.5436 104.093 -34.482 1.51416 19.0257 18.6016 17.3283  16.667 17.9488  12.657
