FP1     FP2     F3      F4      C3      C4      P3      P4      O1      O2      F7      F8      T7      T8      P7      P8      Fz      Cz      Pz      A1      A2      EKG     ATM     EO1     EO2     EM1     EM2     PHO    
     -28 43.4999 -51.933 81.0503 -338.86 -205.07 -405.86 -356.35  -257.4 -274.16 -169.92 -57.123 -291.09  -118.9 -311.97 -205.28 60.5667 -252.04 -381.41  48.647 9.73061  15.623 21.1784 21.0752 21.0701 20.3894 21.2337 14.6983
 -6.5389 71.2072 -54.032  83.372 -318.05 -185.56 -374.61 -326.67 -223.03 -243.04 -146.75 -27.849    -247 -57.215 -268.96 -157.24 58.5072 -246.18 -355.06 43.2837 5.39165 16.1627 21.5558 21.0842 21.0702 20.3438 21.2561 14.7011
 12.1155 94.3273 -54.285 83.8725 -294.32 -166.17 -339.77 -295.61 -187.35 -210.68 -123.98 -0.8132 -203.89 -0.5026 -225.55  -112.5 54.9345 -237.61 -324.67  37.014 2.83914 16.4668 21.9287 21.0864 21.0842 20.2914 21.2844 14.7038
 27.8949 112.934 -52.796 82.6479  -268.7 -147.68 -302.85 -264.43 -151.85 -178.67 -102.34 23.1917 -163.38 49.1852 -183.36  -72.55 50.3091 -226.85 -291.69  29.891 1.10329 16.3975 22.2883 21.0839 21.1015 20.2391 21.3123 14.7066
 40.8602 127.278 -49.798 79.9202 -242.13 -130.57 -265.13 -234.03 -117.73 -148.22 -82.425 43.6666 -126.64   90.65 -143.65 -38.256 45.0994  -214.3 -257.33 19.6722 -2.1457 15.8211 22.6308 21.0787 21.1103 20.1936 21.3348 14.7093
  51.171 137.747 -45.606 75.9938 -215.38 -115.03 -227.62 -204.96 -85.859 -120.13 -64.668 60.3899 -94.351 123.449 -107.19 -9.8751 39.7294 -200.25 -222.57 4.82565 -6.7657 14.7044 22.9518 21.0683 21.1093 20.1575 21.3504 14.7119
 59.0506 144.838 -40.574 71.2135 -189.05 -101.04 -190.99 -177.49 -56.736 -94.823 -49.308 73.3932 -66.764 147.776 -74.332 12.8401 34.5526 -184.93 -188.11 -13.026  -10.01 13.1554 23.2392 21.0466  21.107 20.1301 21.3599 14.7145
  64.761 149.117 -35.057 65.9311 -163.56 -88.419 -155.67  -151.7 -30.522 -72.355 -36.414 82.9335 -43.786 164.323 -45.074  30.495 29.8413 -168.52 -154.43 -30.361 -10.197 11.3531 23.4784 21.0102 21.1095 20.1111 21.3638 14.7171
 68.6038 151.158 -29.384 60.4715 -139.19 -76.962 -121.87 -127.51  -7.087 -52.509 -25.911 89.4467 -25.035 174.072 -19.141 43.8949 25.7691  -151.2 -121.85 -44.552 -9.0659 9.47679 23.6657 20.9628 21.1123 20.1023 21.3604 14.7197
 70.9358 151.481 -23.816 55.0966 -116.12 -66.444 -89.692 -104.83 13.9082 -34.893 -17.592  93.474 -9.9189 178.117 3.88627 53.9098  22.407 -133.18 -90.543 -54.511 -9.4538 7.67973 23.8106 20.9111 21.1059 20.1049 21.3476 14.7222
 72.1418 150.544 -18.525 49.9766 -94.451 -56.684 -59.164 -83.525 32.9209 -19.046 -11.159 95.5795 2.22402 177.559 24.4852 61.3741 19.7435 -114.76 -60.603 -59.344 -11.519 6.05189 23.9235 20.8589  21.087 20.1194  21.325 14.7247
 72.5584 148.744 -13.583 45.1827 -74.251 -47.541 -30.327  -63.51  50.421 -4.5138 -6.2624  96.287 12.0101 173.503 43.1137 67.0239 17.7119 -96.277 -32.125   -58.2 -12.659  4.6106  24.003  20.807 21.0613 20.1462 21.2953 14.7271
 72.4422 146.429 -8.9844 40.7069 -55.537 -38.906 -3.2423 -44.701 66.7991 9.09675 -2.5492 96.0488 19.9867 167.062 60.1568 71.4607 16.2122  -78.13 -5.2337  -51.88 -11.228 3.36346 24.0382 20.7576 21.0349 20.1857 21.2626 14.7295
